season,category,source_table,team,home_games,home_attendance,home_average,road_games,road_attendance,road_average
2018-19,Regular Season,FINAL 2018-19 NBA REGULAR SEASON ATTENDANCE INFO,TOTALS,1230,21948390,17844,1230,21966696,17859
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Atlanta Hawks,41,590769,14409,41,729839,17801
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Boston Celtics,41,763584,18624,41,760822,18557
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Brooklyn Nets,41,639510,15598,41,725099,17685
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Charlotte Hornets,41,671404,16376,41,722558,17623
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Chicago Bulls,41,851824,20776,41,739242,18030
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Cleveland Cavaliers,41,843042,20562,41,781477,19060
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Dallas Mavericks,41,811453,19792,41,712566,17380
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Denver Nuggets,41,702796,17141,41,732712,17871
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Detroit Pistons,41,713945,17413,41,736330,17959
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Golden State Warriors,41,803436,19596,41,774248,18884
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Houston Rockets,41,732722,17871,41,753134,18369
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Indiana Pacers,41,658119,16052,41,727547,17745
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Los Angeles Clippers,41,697812,17020,41,729030,17781
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Los Angeles Lakers,41,776328,18935,41,766568,18697
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Memphis Grizzlies,41,653863,15948,41,711289,17349
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Miami Heat,41,804910,19632,41,745274,18177
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Milwaukee Bucks,41,685303,16715,41,753614,18381
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Minnesota Timberwolves,41,699308,17056,41,731886,17851
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,New Orleans Pelicans,41,673920,16437,41,734378,17912
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,New York Knickerbockers,41,792608,19332,41,745965,18194
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Oklahoma City Thunder,41,746323,18203,41,773542,18867
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Orlando Magic,41,734531,17915,41,723704,17651
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Philadelphia 76ers,41,833503,20329,41,737198,17980
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Phoenix Suns,41,690576,16843,41,722045,17611
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Portland Trail Blazers,41,795328,19398,41,719823,17557
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Sacramento Kings,41,719903,17559,41,716618,17478
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,San Antonio Spurs,41,754562,18404,41,755528,18428
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Toronto Raptors,41,813431,19840,41,724603,17673
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Utah Jazz,41,734806,17922,41,717311,17495
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,Washington Wizards,41,739302,18032,41,724971,17682
2017-18,Regular Season,FINAL 2017-18 NBA REGULAR SEASON ATTENDANCE,TOTALS,1230,22128921,17991,1230,22128921,17991
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Atlanta Hawks,41,654306,15959,41,730479,17817
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Boston Celtics,41,760690,18553,41,750843,18313
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Brooklyn Nets,41,632608,15429,41,727958,17755
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Charlotte Hornets,41,710643,17333,41,720119,17564
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Chicago Bulls,41,888882,21680,41,739359,18033
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Cleveland Cavaliers,41,843042,20562,41,779880,19021
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Dallas Mavericks,41,811366,19789,41,718291,17519
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Denver Nuggets,41,605585,14770,41,714236,17420
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Detroit Pistons,41,655141,15979,41,725680,17700
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Golden State Warriors,41,803436,19596,41,779621,19015
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Houston Rockets,41,695903,16973,41,743761,18141
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Indiana Pacers,41,684578,16697,41,731786,17848
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Los Angeles Clippers,41,782609,19088,41,733478,17890
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Los Angeles Lakers,41,776917,18949,41,745860,18192
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Memphis Grizzlies,41,677314,16520,41,723881,17656
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Miami Heat,41,805400,19644,41,730566,17819
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Milwaukee Bucks,41,648952,15828,41,735056,17928
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Minnesota Timberwolves,41,607203,14810,41,742174,18102
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,New Orleans Pelicans,41,663099,16173,41,740577,18063
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,New York Knickerbockers,41,810741,19774,41,735028,17928
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Oklahoma City Thunder,41,746323,18203,41,753331,18374
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Orlando Magic,41,727875,17753,41,710690,17334
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Philadelphia 76ers,41,710557,17331,41,705569,17209
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Phoenix Suns,41,708639,17284,41,722367,17619
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Portland Trail Blazers,41,792029,19318,41,719788,17556
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Sacramento Kings,41,721928,17608,41,717065,17489
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,San Antonio Spurs,41,755347,18423,41,743388,18131
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Toronto Raptors,41,813050,19830,41,734953,17926
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Utah Jazz,41,806142,19662,41,705701,17212
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,Washington Wizards,41,697107,17003,41,735927,17949
2016-17,Regular Season,FINAL 2016-17 NBA REGULAR SEASON ATTENDANCE INFO,TOTALS,1230,21997412,17884,1230,21997412,17884
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Atlanta Hawks,41,690150,16833,41,722066,17611
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Boston Celtics,41,749076,18270,41,715023,17440
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Brooklyn Nets,41,620142,15125,41,742352,18106
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Charlotte Hornets,41,716894,17485,41,729157,17784
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Chicago Bulls,41,894659,21821,41,744400,18156
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Cleveland Cavaliers,41,843042,20562,41,775317,18910
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Dallas Mavericks,41,825901,20144,41,726812,17727
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Denver Nuggets,41,577898,14095,41,729120,17783
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Detroit Pistons,41,677138,16516,41,730383,17814
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Golden State Warriors,41,803436,19596,41,784499,19134
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Houston Rockets,41,737244,17982,41,727368,17741
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Indiana Pacers,41,690733,16847,41,731930,17852
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Los Angeles Clippers,41,786910,19193,41,729503,17793
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Los Angeles Lakers,41,778877,18997,41,785143,19150
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Memphis Grizzlies,41,701894,17119,41,721186,17590
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Miami Heat,41,809350,19740,41,739821,18044
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Milwaukee Bucks,41,621808,15166,41,722548,17623
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Minnesota Timberwolves,41,581178,14175,41,731110,17832
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,New Orleans Pelicans,41,688549,16794,41,731893,17851
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,New York Knickerbockers,41,812292,19812,41,756070,18441
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Oklahoma City Thunder,41,746323,18203,41,748617,18259
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Orlando Magic,41,719275,17543,41,704188,17175
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Philadelphia 76ers,41,610121,14881,41,717170,17492
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Phoenix Suns,41,701405,17107,41,709412,17303
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Portland Trail Blazers,41,794085,19368,41,725852,17704
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Sacramento Kings,41,707526,17257,41,711569,17355
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,San Antonio Spurs,41,756445,18450,41,735470,17938
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Toronto Raptors,41,812863,19826,41,703668,17163
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Utah Jazz,41,791489,19305,41,712518,17378
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,Washington Wizards,41,725426,17693,41,729274,17787
2015-16,Regular Season,FINAL 2015-16 NBA SEASON ATTENDANCE,TOTALS,1230,21972129,17864,1230,21973439,17865
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Atlanta Hawks,41,713909,17412,41,720873,17582
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Boston Celtics,41,721350,17594,41,727404,17742
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Brooklyn Nets,41,698529,17037,41,739614,18039
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Charlotte Hornets,41,704886,17192,41,723833,17654
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Chicago Bulls,41,896525,21866,41,754592,18405
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Cleveland Cavaliers,41,843042,20562,41,775537,18916
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Dallas Mavericks,41,827702,20188,41,723792,17653
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Denver Nuggets,41,602707,14700,41,714593,17429
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Detroit Pistons,41,625917,15266,41,732519,17866
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Golden State Warriors,41,803436,19596,41,750793,18312
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Houston Rockets,41,747412,18230,41,736761,17970
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Indiana Pacers,41,691434,16864,41,733593,17893
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Los Angeles Clippers,41,785892,19168,41,741245,18079
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Los Angeles Lakers,41,768244,18738,41,732881,17875
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Memphis Grizzlies,41,710502,17329,41,738717,18017
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Miami Heat,41,808223,19713,41,725609,17698
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Milwaukee Bucks,41,611226,14908,41,725841,17703
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Minnesota Timberwolves,41,595652,14528,41,738032,18001
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,New Orleans Pelicans,41,683757,16677,41,723265,17641
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,New York Knickerbockers,41,812292,19812,41,715966,17463
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Oklahoma City Thunder,41,746323,18203,41,736220,17957
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Orlando Magic,41,688194,16785,41,721024,17586
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Philadelphia 76ers,41,571342,13935,41,724272,17665
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Phoenix Suns,41,693862,16923,41,721033,17586
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Portland Trail Blazers,41,801377,19546,41,723952,17657
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Sacramento Kings,41,680049,16587,41,718130,17515
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,San Antonio Spurs,41,762855,18606,41,736866,17972
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Toronto Raptors,41,809824,19752,41,718430,17523
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Utah Jazz,41,772059,18831,41,702545,17135
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,Washington Wizards,41,747796,18239,41,748386,18253
2014-15,Regular Season,FINAL 2014-15 REGULAR SEASON NBA ATTENDANCE DATA,TOTALS,1230,21926318,17826,1230,21926318,17826
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Atlanta Hawks,41,587927,14340,41,708251,17274
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Boston Celtics,41,742040,18099,41,716876,17485
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Brooklyn Nets,41,707331,17252,41,718662,17528
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Charlotte Bobcats,41,636268,15519,41,698106,17027
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Chicago Bulls,41,890370,21716,41,719618,17552
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Cleveland Cavaliers,41,710522,17330,41,712550,17379
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Dallas Mavericks,41,817982,19951,41,708018,17269
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Denver Nuggets,41,692898,16900,41,705675,17212
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Detroit Pistons,41,615238,15006,41,708505,17281
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Golden State Warriors,41,803436,19596,41,718576,17526
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Houston Rockets,41,743082,18124,41,714540,17428
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Indiana Pacers,41,717542,17501,41,732759,17872
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Los Angeles Clippers,41,787692,19212,41,705964,17219
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Los Angeles Lakers,41,771974,18829,41,731678,17846
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Memphis Grizzlies,41,685458,16718,41,708043,17269
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Miami Heat,41,811036,19781,41,786823,19191
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Milwaukee Bucks,41,552067,13465,41,697562,17014
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Minnesota Timberwolves,41,597157,14565,41,721826,17606
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,New Orleans Pelicans,41,672029,16391,41,713288,17397
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,New York Knickerbockers,41,812292,19812,41,714321,17422
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Oklahoma City Thunder,41,746323,18203,41,744987,18170
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Orlando Magic,41,666046,16245,41,679941,16584
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Philadelphia 76ers,41,568632,13869,41,715093,17441
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Phoenix Suns,41,650739,15872,41,707251,17250
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Portland Trail Blazers,41,809602,19746,41,709822,17313
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Sacramento Kings,41,667949,16291,41,691240,16860
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,San Antonio Spurs,41,755031,18415,41,721842,17606
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Toronto Raptors,41,748339,18252,41,684820,16703
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Utah Jazz,41,745203,18176,41,709125,17296
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,Washington Wizards,41,698068,17026,41,704511,17183
2013-14,Regular Season,FINAL 2013-14 NBA REGULAR SEASON ATTENDANCE /,TOTALS,1230,21410273,17407,1230,21410273,17407
